,title,release_date,vote_average,popularity,genres,production_budget,worldwide_gross,studio,profit,release_year,release_month,year_month
0,How to Train Your Dragon,2010-03-26,7.7,28.734,Action,165000000,494870992,P/DW,82435496.0,2010,3,2010-03
0,How to Train Your Dragon,2010-03-26,7.7,28.734,Adventure,165000000,494870992,P/DW,82435496.0,2010,3,2010-03
0,How to Train Your Dragon,2010-03-26,7.7,28.734,Animation,165000000,494870992,P/DW,82435496.0,2010,3,2010-03
1,Iron Man 2,2010-05-07,6.8,28.515,Action,170000000,621156389,Par.,140578194.5,2010,5,2010-05
1,Iron Man 2,2010-05-07,6.8,28.515,Adventure,170000000,621156389,Par.,140578194.5,2010,5,2010-05
1,Iron Man 2,2010-05-07,6.8,28.515,Sci-Fi,170000000,621156389,Par.,140578194.5,2010,5,2010-05
2,Inception,2010-07-16,8.3,27.92,Action,160000000,835524642,WB,257762321.0,2010,7,2010-07
2,Inception,2010-07-16,8.3,27.92,Adventure,160000000,835524642,WB,257762321.0,2010,7,2010-07
2,Inception,2010-07-16,8.3,27.92,Sci-Fi,160000000,835524642,WB,257762321.0,2010,7,2010-07
3,Toy Story 3,2010-06-17,7.7,24.445,Adventure,200000000,1068879522,BV,334439761.0,2010,6,2010-06
3,Toy Story 3,2010-06-17,7.7,24.445,Animation,200000000,1068879522,BV,334439761.0,2010,6,2010-06
3,Toy Story 3,2010-06-17,7.7,24.445,Comedy,200000000,1068879522,BV,334439761.0,2010,6,2010-06
4,Despicable Me,2010-07-09,7.2,23.673,Animation,69000000,543464573,Uni.,202732286.5,2010,7,2010-07
4,Despicable Me,2010-07-09,7.2,23.673,Comedy,69000000,543464573,Uni.,202732286.5,2010,7,2010-07
4,Despicable Me,2010-07-09,7.2,23.673,Family,69000000,543464573,Uni.,202732286.5,2010,7,2010-07
5,Megamind,2010-11-04,6.8,22.855,Action,130000000,321887208,P/DW,30943604.0,2010,11,2010-11
5,Megamind,2010-11-04,6.8,22.855,Animation,130000000,321887208,P/DW,30943604.0,2010,11,2010-11
5,Megamind,2010-11-04,6.8,22.855,Comedy,130000000,321887208,P/DW,30943604.0,2010,11,2010-11
6,The Expendables,2010-08-03,6.1,21.517,Action,82000000,268268174,LGF,52134087.0,2010,8,2010-08
6,The Expendables,2010-08-03,6.1,21.517,Adventure,82000000,268268174,LGF,52134087.0,2010,8,2010-08
6,The Expendables,2010-08-03,6.1,21.517,Thriller,82000000,268268174,LGF,52134087.0,2010,8,2010-08
7,Tangled,2010-11-24,7.5,21.511,Adventure,260000000,586477240,BV,33238620.0,2010,11,2010-11
7,Tangled,2010-11-24,7.5,21.511,Animation,260000000,586477240,BV,33238620.0,2010,11,2010-11
7,Tangled,2010-11-24,7.5,21.511,Comedy,260000000,586477240,BV,33238620.0,2010,11,2010-11
8,The Twilight Saga: Eclipse,2010-06-23,6.0,20.34,Adventure,68000000,706102828,Sum.,285051414.0,2010,6,2010-06
8,The Twilight Saga: Eclipse,2010-06-23,6.0,20.34,Drama,68000000,706102828,Sum.,285051414.0,2010,6,2010-06
8,The Twilight Saga: Eclipse,2010-06-23,6.0,20.34,Fantasy,68000000,706102828,Sum.,285051414.0,2010,6,2010-06
9,The Book of Eli,2010-01-11,6.7,18.985,Action,80000000,158750817,WB,-624591.5,2010,1,2010-01
9,The Book of Eli,2010-01-11,6.7,18.985,Adventure,80000000,158750817,WB,-624591.5,2010,1,2010-01
9,The Book of Eli,2010-01-11,6.7,18.985,Drama,80000000,158750817,WB,-624591.5,2010,1,2010-01
10,Shutter Island,2010-02-18,8.1,18.06,Mystery,80000000,299461782,Par.,69730891.0,2010,2,2010-02
10,Shutter Island,2010-02-18,8.1,18.06,Thriller,80000000,299461782,Par.,69730891.0,2010,2,2010-02
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-10,6.3,17.382,Adventure,155000000,418186950,Fox,54093475.0,2010,12,2010-12
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-10,6.3,17.382,Family,155000000,418186950,Fox,54093475.0,2010,12,2010-12
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-10,6.3,17.382,Fantasy,155000000,418186950,Fox,54093475.0,2010,12,2010-12
12,The A-Team,2010-06-11,6.3,17.097,Action,110000000,177241171,Fox,-21379414.5,2010,6,2010-06
12,The A-Team,2010-06-11,6.3,17.097,Adventure,110000000,177241171,Fox,-21379414.5,2010,6,2010-06
12,The A-Team,2010-06-11,6.3,17.097,Thriller,110000000,177241171,Fox,-21379414.5,2010,6,2010-06
13,The Last Airbender,2010-07-01,4.6,16.595,Action,150000000,319713881,Par.,9856940.5,2010,7,2010-07
13,The Last Airbender,2010-07-01,4.6,16.595,Adventure,150000000,319713881,Par.,9856940.5,2010,7,2010-07
13,The Last Airbender,2010-07-01,4.6,16.595,Family,150000000,319713881,Par.,9856940.5,2010,7,2010-07
14,Predators,2010-07-03,6.1,16.216,Action,40000000,127234389,Fox,23617194.5,2010,7,2010-07
14,Predators,2010-07-03,6.1,16.216,Adventure,40000000,127234389,Fox,23617194.5,2010,7,2010-07
14,Predators,2010-07-03,6.1,16.216,Sci-Fi,40000000,127234389,Fox,23617194.5,2010,7,2010-07
15,The Social Network,2010-10-01,7.2,15.889,Biography,40000000,224922135,Sony,72461067.5,2010,10,2010-10
15,The Social Network,2010-10-01,7.2,15.889,Drama,40000000,224922135,Sony,72461067.5,2010,10,2010-10
16,Robin Hood,2010-05-14,6.3,15.444,Action,210000000,322459006,Uni.,-48770497.0,2010,5,2010-05
